,Br,MEANGAM,MEANGBT,MEANGBH,MEANGBZ,MEANJZD,TOTUSJZ,MEANALP,TOTUSJH,SAVNCPP+,SAVNCPP-,MEANPOT,MEANSHR
0,19.4,10.03499704,2.663836365,1.548542542,2.4,-0.023335622,2.705,-62727.68623,202.0044125,-71.45375,-73.035,8450.09605,10.75014151
1,42.75,14.26010439,5.359319002,3.116663638,4.885,-0.015776898,5.43,-32934.61103,544.080275,-40.225,-41.135,16555.83937,15.19098458
2,72.8,17.68029864,8.149013525,4.715973954,7.49,-0.011677089,8.21,-20172.13643,1017.969788,-22.75,-23.55,24469.76059,18.76529222
3,110.21,20.7146079,11.05746357,6.388554182,10.295,-0.008882012,11.075,-13113.078,1629.3351,-9.93,-10.62,32051.33231,21.93167843
4,152.3825,23.62025833,14.11222271,8.135422798,13.33,-0.006775879,14.06,-8596.7305,2379.838125,0,0,39636.65538,24.93813971
5,194.99,26.44288641,17.39308448,9.985157993,16.665,-0.005055159,17.175,-5491.99845,3267.641,0,0,47722.46986,27.91907071
6,234.38,29.3223016,20.95978627,11.97121749,20.34,-0.003569183,20.495,-3258.307275,4302.982013,0,0,56621.2133,30.92923286
7,270.91,32.34789411,24.86625605,14.10329406,24.5,-0.002245888,24.02,-1617.29325,5521.84945,0,0,66682.38079,34.08995951
8,306.43,35.59734168,29.20664754,16.42777268,29.18,-0.00102195,27.82,-537.759125,6959.3428,0,0,78385.89639,37.40441933
9,342.04,39.19574875,34.03044805,19.01088168,34.4575,0.000157223,32.005,0.901,8636.7019,0,0,92324.68998,40.99071249
10,379.84,43.32885942,39.53853044,21.93567164,40.49,0.001349498,36.62,550.55595,10658.36838,0,0,109347.8982,44.88105023
11,420.75,48.18669504,45.79973533,25.26217189,47.44,0.002589814,41.795,1641.9747,13136.436,0,0,130557.5883,49.1623458
12,466.6425,53.98441436,53.16233984,29.09718507,55.6,0.003929486,47.765,3277.177788,16241.592,0,0,157821.3508,53.88613283
13,519.77,60.5581601,61.72280624,33.60099265,65.21,0.005436207,54.73,5552.72175,20204.29858,0,0,193947.736,59.03522884
14,583.35,67.2967244,72.13314116,39.13152916,76.795,0.007199507,63.14,8674.344825,25499.93494,0.34,1.1,243425.8053,64.67511018
15,662.67,73.32965523,85.06040406,46.10082222,91.175,0.009366784,73.695,13164.1019,32888.889,11.53,12.18,313664.2654,70.85057357
16,767.71,78.31187577,101.8999734,55.41555729,109.89,0.012227372,87.86,20235.3636,43919.09044,24.64,25.165,417581.4357,77.79933672
17,918.345,82.50307058,125.8288557,69.07478442,136.3525,0.016421078,108.67,32840.10483,62215.23835,42.665,43.135,576519.9897,86.54917401
18,1165.7775,86.33272226,166.6494024,94.00881464,181.28,0.024095529,146.58,61750.30043,99668.41312,74.845,75.545,848685.2816,101.3399246